Trace<2019-11-26 19:46:40.000000: ../car-breaker-project/car-breaker-main.cpp: 112> int main(int, char**);
Trace<2019-11-26 19:46:40.000000: ../car-breaker-project/config-manager.cpp:  41>   char** GetParameters(int*, char*);
Trace<2019-11-26 19:46:40.000000: ../car-breaker-project/car-breaker-graphics.cpp:1833>   bool initializeGameData(int, char**);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 463>           bool isBallBrickCollision(GameData*, int, int);
